"","1","2","3","4"
"0",22254,1960583,61227,60178
"0.01",451,47752,3316,2641
"0.02",213,23242,1748,1294
"0.03",163,15600,1169,854
"0.04",116,12128,877,624
"0.05",76,9295,718,474
"0.06",84,7534,580,377
"0.07",59,6052,441,316
"0.08",56,5249,398,239
"0.09",32,4672,371,228
"0.1",35,3741,283,177
"0.11",47,3160,277,128
"0.12",17,2741,229,130
"0.13",13,2561,186,121
"0.14",21,2069,158,87
"0.15",19,2016,141,75
"0.16",24,1671,137,76
"0.17",12,1556,135,56
"0.18",14,1334,118,49
"0.19",18,1096,92,65
"0.2",4,1081,86,42
"0.21",5,952,71,41
"0.22",5,806,75,46
"0.23",7,802,86,44
"0.24",10,780,79,25
"0.25",14,641,61,24
"0.26",4,619,61,35
"0.27",8,512,50,18
"0.28",5,514,58,18
"0.29",7,395,38,13
"0.3",5,453,27,13
"0.31",4,443,39,26
"0.32",3,516,43,15
"0.33",3,307,29,16
"0.34",3,313,27,23
"0.35",2,350,29,14
"0.36",2,307,29,15
"0.37",1,258,15,24
"0.38",2,248,18,13
"0.39",3,259,23,6
"0.4",2,168,22,11
"0.41",2,183,12,8
"0.42",1,158,21,2
"0.43",2,137,11,5
"0.44",4,157,13,11
"0.45",7,147,12,10
"0.46",4,149,13,7
"0.47",0,90,16,4
"0.48",1,149,13,6
"0.49",1,122,7,1
"0.5",0,102,21,7
"0.51",0,145,14,2
"0.52",0,147,23,4
"0.53",5,120,17,2
"0.54",3,120,7,5
"0.55",0,82,14,3
"0.56",1,87,9,4
"0.57",2,75,11,3
"0.58",0,77,6,2
"0.59",1,87,11,0
"0.6",0,74,5,3
"0.61",2,81,2,5
"0.62",0,57,9,1
"0.63",1,46,9,1
"0.64",0,65,8,3
"0.65",1,67,1,0
"0.66",1,54,5,1
"0.67",0,50,2,0
"0.68",0,34,1,2
"0.69",0,41,2,0
"0.7",0,18,5,0
"0.71",2,35,4,3
"0.72",0,63,4,0
"0.73",0,25,8,0
"0.74",0,20,8,0
"0.75",0,37,1,1
"0.76",0,61,7,0
"0.77",0,25,3,1
"0.78",1,16,3,1
"0.79",0,35,2,2
