"","1","2","3","4"
"0",14,3059,52,113
"0.06",6,104,5,3
"0.1",0,184,48,36
"0.12",1,691,12,22
"0.19",0,12,0,0
"0.2",0,1889,390,591
"0.25",44,10803,163,349
"0.38",0,121,0,9
"0.4",0,12,5,8
"0.5",37,10889,554,810
"0.6",0,20,1,4
"0.63",2,76,0,4
"0.7",0,1,0,0
"0.75",23,7739,237,249
"0.8",0,1303,321,412
"0.88",0,54,4,3
"0.9",0,8,2,1
"0.99",0,6,0,0
"1",167,35367,1459,1452
"1.1",0,10,3,2
"1.2",0,1073,238,255
"1.4",0,4,0,4
"1.5",0,1617,456,375
"1.6",0,3,3,0
"1.8",0,1317,333,296
"1.9",0,7,1,3
"2",321,41921,2145,1773
"2.2",0,18,0,1
"2.5",0,2925,819,593
"2.8",0,19,4,6
"3",269,39100,2661,1982
"3.5",0,4,1,1
"4",242,40697,2439,2059
"4.2",0,3,0,0
"5",232,48253,3057,2391
"5.5",0,4,4,0
"6",281,44468,2464,1838
"6.2",0,1,0,0
"7",425,71056,4316,3852
"8",320,50795,2881,1959
"9",416,62080,3594,2727
"10",22831,1985508,120104,101833
"10.5",0,6,3,1
"11",0,23,24,1
"12",0,59,47,9
"13",0,2523,547,46
"14",0,2,2,0
"15",52,1872,169,210
"16",0,1,0,0
"19",0,1,0,0
"20",42,1043,301,245
"22",0,0,2,0
"23",0,6,0,0
"25",0,270,58,16
"30",7,462,543,112
"34",0,1,0,0
"35",1,23,26,10
"36",0,1,0,0
"40",1,692,204,88
"43",0,1,0,0
"45",0,59,31,41
"47",0,0,2,0
"50",4,406,342,56
"54",0,1,0,0
"60",0,39,38,6
"63",0,1,0,0
"70",0,42,55,2
"75",2,17,13,1
"80",0,176,7,3
"90",0,9,0,0
"100",0,37,0,0
"110",0,1,0,0
"111",0,0,1,0
"120",0,2,0,2
"130",0,1,0,0
"140",0,2,0,0
